course,program,duration,nos,emgs,misc,ttf,intake,description,uid
Bachelor of Multimedia Technology (Hons) in Computer Animation Design,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Business Technology (Hons) in Computer Entrepreneurial Management,Bachelor,4 Years,8,3100,3540,"17,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Electrical,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Electronics,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Data Communication,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Mobile Communication,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) Medical Electronic Technology,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering (Hons) (Electrical),Bachelor,4 Years,8,3100,3540,"20,800",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Air Conditioning & Industrial Refrigeration,Bachelor,4 Years,8,3100,3540,"20,300",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Industrial Automation & Robotics,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Mechatronics,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Machine Tools Manufacturing,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Welding & Quality Inspection,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Automotive Maintenance,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering with Hons. (Mechanical),Bachelor,4 Years,8,3100,3540,"16,000",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Electromechanical System,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Aircraft Engineering Technology (Hons) Mechanical ,Bachelor,4 Years,8,3100,3540,"21,100",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Aviation Management (Hons) ,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Aircraft Engineering Technology (Hons) in Avionics,Bachelor,4 Years,8,3100,3540,"21,100",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor in Biosystem Engineering Technology (Hons) ,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
 Bachelor of Chemical Engineering Technnology (Hons) in Process,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Chemical Engineering Technnology (Hons) in Enviroment,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Chemical Engineering Technnology (Hons) in Polymer,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Chemical Engineering Technnology (Hons) in Bioprocess,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Chemical Engineering Technnology (Hons) in Food,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering with Hons. (Chemical),Bachelor,4 Years,8,3100,3540,"20,800",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Naval Architecture & Shipbuilding,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Maritime Operation (Hons),Bachelor,4 Years,8,3100,3540,"18,200",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Marine Electrical & Electronic,Bachelor,4 Years,8,3100,3540,"20,300",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Marine Engineering,Bachelor,4 Years,8,3100,3540,"17,550",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Mechanical) (Automotive),Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Mechatronics (Automotive),Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Manufacturing (Automotive),Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in in Mechanical Design,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in in Applied Electronics,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Quality Engineering,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Industrial Logistrics,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Instrumentation & Control Engineering,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Business Administration (Hons) in Islamic Finance,Bachelor,3 Years,6,3100,3540,"15,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Accounting (Hons),Bachelor,4 Years,8,3100,3540,"16,900",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Business Administration (Hons) in Marketing,Bachelor,3 Years,6,3100,3540,"16,900",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Business Administration (Hons) International Busuness,Bachelor,3 Years,6,3100,3540,"16,900",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Degree in MBBS,Bachelor,5 Years,10,3100,3540,"78,000",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Master Of Management,Master,(1.5 - 3) Years,6,3400,3540,"3,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Information Technology,Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Electrical / Electronics),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Manufacturing),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Industrial Automation),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Mechanical),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Chemical Engineering),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Medical Science,Master,(1.5 - 3) Years,6,3400,3540,"7,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Pharmacy,Master,(1.5 - 3) Years,6,3400,3540,"15,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master os Business Administration,Master,(1.5 - 3) Years,6,3400,3540,"9,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master os Business Administration (Entrepreneurship),Master,(1.5 - 3) Years,6,3400,3540,"9,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Engineering Technology (Green & Energy Efficient Buildings),Master,(1.5 - 3) Years,6,3400,3540,"12,200",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Master of Science in Public Health,Master,(1.5 - 3) Years,6,3400,3540,"20,000",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Management),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Information Technology),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Electric & Electronic),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Manufacturing),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Industrial Aitomation),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Mechanical),PhD,(2-7) Years,14,3400,3540,"4,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Chemical Engineering),PhD,(2-7) Years,14,3400,3540,"4,700",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
Doctors of Philosophy (Medical Science),PhD,(2-7) Years,14,3400,3540,"6,600",Jan/July/Oct,"Submission Deadline before 2 months,IELTS 6",43
